,ambient_heat__to__ambient_heat_bus__flow,ambient_heat_bus__to__solar_collector__flow,biomass_bus__to__chp_2__flow,biomass_source__to__biomass_bus__flow,chp_1__to__electrical_bus__flow,chp_1__to__thermal_bus__flow,chp_2__to__electrical_bus__flow,chp_2__to__thermal_bus__flow,electrical_bus__to__excess_electricity__flow,electrical_bus__to__heat_pump__flow,electricity_grid__to__electrical_bus__flow,gas_boiler_1__to__thermal_bus__flow,gas_bus__to__chp_1__flow,gas_bus__to__gas_boiler_1__flow,heat_pump__to__thermal_bus__flow,natural_gas__to__gas_bus__flow,solar_collector__to__thermal_bus__flow,thermal_bus__to__thermal_demand_with_losses__flow,thermal_shortage__to__thermal_bus__flow,waste_heat_source__to__waste_heat_bus__flow
2022-01-01 00:00:00,0.0,0.0,7.2727272727272725,7.2727272727272725,0.0,0.0,1.309090909090909,4.0,0.7930505624242431,0.516040346666666,0.0,0.0,0.0,0.0,1.548121039999998,0.0,-0.0,5.54812104,0.0,0.0
2022-01-01 01:00:00,0.0,0.0,7.2727272727272725,7.2727272727272725,0.0,0.0,1.309090909090909,4.0,0.815153874424243,0.4939370346666661,0.0,0.0,0.0,0.0,1.4818111039999984,0.0,-0.0,5.481811103999998,0.0,0.0
2022-01-01 02:00:00,0.0,0.0,7.2727272727272725,7.2727272727272725,0.0,0.0,1.309090909090909,4.0,0.8277470704242431,0.481343838666666,0.0,0.0,0.0,0.0,1.4440315159999981,0.0,-0.0,5.444031516,0.0,0.0
2022-01-01 03:00:00,0.0,0.0,7.2727272727272725,7.2727272727272725,0.0,0.0,1.309090909090909,4.0,0.8366812264242427,0.47240968266666644,0.0,0.0,0.0,0.0,1.4172290479999994,0.0,-0.0,5.417229047999999,0.0,0.0
2022-01-01 04:00:00,0.0,0.0,7.2727272727272725,7.2727272727272725,0.0,0.0,1.309090909090909,4.0,0.8020185984242428,0.5070723106666662,0.0,0.0,0.0,0.0,1.5212169319999989,0.0,-0.0,5.521216932000001,0.0,0.0
2022-01-01 05:00:00,0.0,0.0,7.2727272727272725,7.2727272727272725,0.0,0.0,1.309090909090909,4.0,0.7831169464242429,0.5259739626666662,0.0,0.0,0.0,0.0,1.5779218879999988,0.0,-0.0,5.5779218880000005,0.0,0.0
2022-01-01 06:00:00,0.0,0.0,7.2727272727272725,7.2727272727272725,0.0,0.0,1.309090909090909,4.0,0.7134427264242433,0.5956481826666657,0.0,0.0,0.0,0.0,1.7869445479999975,0.0,-0.0,5.786944547999999,0.0,0.0
2022-01-01 07:00:00,0.0,0.0,7.2727272727272725,7.2727272727272725,0.0,0.0,1.309090909090909,4.0,0.7050879184242433,0.6040029906666657,0.0,0.0,0.0,0.0,1.8120089719999974,0.0,-0.0,5.812008971999999,0.0,0.0
2022-01-01 08:00:00,0.0,0.0,7.2727272727272725,7.2727272727272725,0.0,0.0,1.309090909090909,4.0,0.6957370384242426,0.6133538706666665,0.0,0.0,0.0,0.0,1.8400616119999995,0.0,-0.0,5.8400616119999995,0.0,0.0
2022-01-01 09:00:00,0.0,0.0,7.2727272727272725,7.2727272727272725,0.0,0.0,1.309090909090909,4.0,0.7373789464242431,0.571711962666666,0.0,0.0,0.0,0.0,1.715135887999998,0.0,-0.0,5.715135888,0.0,0.0
