id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,forks-3,consumers-0,297,DN80,908.680965,1,1974306.332548585,3.19096534037985
1,producers-1,forks-3,806,DN80,917.365611,1,5362869.67583475,8.68464615640362
2,producers-1,forks-0,353,DN80,315.62893,1,2197392.0861964487,3.0452587338753
3,forks-3,forks-0,807,,0.0,0,0.0,0.0
4,forks-3,consumers-1,1510,,0.0,0,0.0,0.0
5,forks-0,forks-2,795,,0.0,0,0.0,0.0
6,forks-0,consumers-2,532,DN80,312.583671,1,3310495.982224919,4.58367141131004
7,forks-1,consumers-2,480,,0.0,0,0.0,0.0
8,forks-1,consumers-3,1360,,0.0,0,0.0,0.0
9,forks-2,producers-0,721,DN80,1447.839438,-1,5069843.158073307,9.13419527822886
10,producers-0,forks-4,1160,DN125,2825.469399,1,13608143.301177919,16.1557868589476
11,forks-4,consumers-3,816,DN125,2692.4639,1,9544539.557059018,11.213900253936
12,forks-4,consumers-4,960,DN80,210.0,1,5903653.5072,7.9197120000000005
13,forks-2,consumers-1,1140,DN80,1438.705243,1,8008698.221933211,14.4052425979614
