thermal_demand;electricity_price;co2_price;gas_price;irradiance_riga
6028.34;117.71;82.25;70.807;0
5891.46;95.95;82.25;70.807;0
5827.24;105.68;82.25;70.807;0
5673.90;95.26;82.25;70.807;0
5533.64;103.7;82.25;70.807;0
5470.78;108.27;82.25;70.807;0
5427.49;105.92;82.25;70.807;0
5312.95;103.41;82.25;70.807;0
5227.80;102.71;82.25;70.807;0
5391.21;114.23;82.25;70.807;0
5971.64;156.91;82.25;70.807;0
6243.11;182.64;82.25;70.807;0
6303.98;178.91;82.25;70.807;0
6179.16;190;82.25;70.807;0
6495.33;189.88;82.25;70.807;0
6555.59;182.42;82.25;70.807;0
6566.40;182.46;82.25;70.807;0
6208.82;179.59;82.25;70.807;0
6157.81;179;82.25;70.807;0
6101.24;180.93;82.25;70.807;0
6042.51;166.69;82.25;70.807;0
6438.48;189.88;82.25;70.807;0
6571.98;184.94;82.25;70.807;0
6551.59;178.99;82.25;70.807;0
6001.13;156.12;82.25;70.807;0
5793.19;140.92;82.25;70.807;0
5638.46;137.92;82.25;70.807;0
5411.72;97.56;82.25;70.807;0
5369.96;105.31;82.25;91.338;0
5360.63;97.29;82.25;91.338;0
5258.10;84.5;82.25;91.338;0
5298.72;75.38;82.25;91.338;0
5296.55;79.11;82.25;91.338;0
5444.23;94.79;82.25;91.338;0
5812.60;99.16;82.25;91.338;0
6066.87;101.15;82.25;91.338;0
6131.36;129.56;82.25;91.338;0
6123.31;113.37;82.25;91.338;0
6671.16;94.43;82.25;91.338;0
6772.91;98.1;82.25;91.338;0
6819.17;95.68;82.25;91.338;0
6562.75;96.8;82.25;91.338;173
6642.06;107.32;82.25;91.338;0
6657.94;119.48;82.25;91.338;0
6828.20;137.28;82.25;91.338;0
7258.92;148.09;82.25;91.338;0
7107.76;139.88;82.25;91.338;0
6845.64;135.75;82.25;91.338;0
6350.67;119.93;82.25;91.338;0
6233.13;98.09;82.25;91.338;0
6203.44;118.71;82.25;91.338;0
6011.86;99.68;82.25;91.338;0
5948.15;99.85;82.25;92.598;0
5914.56;101.32;82.25;92.598;0
5841.47;110.01;82.25;92.598;0
5741.57;111.55;82.25;92.598;0
6079.74;123.37;82.25;92.598;0
6223.93;149.94;82.25;92.598;0
6493.36;185.92;82.25;92.598;0
6619.75;228.25;82.25;92.598;0
6829.00;228.92;82.25;92.598;0
6828.33;212.9;82.25;92.598;0
7239.70;215.5;82.25;92.598;0
7469.85;231.9;82.25;92.598;0
7399.20;226;82.25;92.598;0
7000.48;209.2;82.25;92.598;0
6907.07;216.06;82.25;92.598;0
6908.28;230.77;82.25;92.598;0
6774.07;245.95;82.25;92.598;0
7232.47;274.11;82.25;92.598;0
7300.69;273.44;82.25;92.598;0
7195.84;245.48;82.25;92.598;0
6590.60;226.14;82.25;92.598;0
6439.08;208.31;82.25;92.598;0
6198.44;178.75;82.25;92.598;0
6087.19;124.7;82.25;92.598;0
5960.38;128.92;82.25;94.548;0
5836.20;118.4;82.25;94.548;0
5793.95;103.01;82.25;94.548;0
5752.99;101.91;82.25;94.548;0
5717.22;101.98;82.25;94.548;0
5833.96;114.99;82.25;94.548;0
6284.67;140.19;82.25;94.548;0
6573.53;152.64;82.25;94.548;112
6804.46;160.97;82.25;94.548;430
6747.56;161.85;82.25;94.548;577
7100.61;161.37;82.25;94.548;635
7076.46;166.06;82.25;94.548;622
7097.48;166.54;82.25;94.548;530
6831.93;166.04;82.25;94.548;0
6758.13;169.43;82.25;94.548;0
6785.10;189.7;82.25;94.548;0
6742.43;201.97;82.25;94.548;0
7122.95;243.11;82.25;94.548;0
7127.24;253.81;82.25;94.548;0
6978.90;237.05;82.25;94.548;0
6396.92;224.33;82.25;94.548;0
6296.10;213.81;82.25;94.548;0
6153.74;185.94;82.25;94.548;0
5925.60;148.32;82.25;94.548;0
5674.28;164.17;82.25;90.886;0
5510.50;152.83;82.25;90.886;0
5418.74;166;82.25;90.886;0
5427.59;160.86;82.25;90.886;0
5593.10;160;82.25;90.886;0
5752.31;154.3;82.25;90.886;0
6325.47;166;82.25;90.886;0
6422.63;182.91;82.25;90.886;0
6357.42;215.89;82.25;90.886;0
6219.06;231;82.25;90.886;0
6495.94;228.95;82.25;90.886;0
6624.13;215.39;82.25;90.886;0
6690.07;206.68;82.25;90.886;0
6257.58;185;82.25;90.886;0
6354.99;169.52;82.25;90.886;0
6389.40;162.8;82.25;90.886;0
6351.92;161.34;82.25;90.886;0
7027.37;189.9;82.25;90.886;0
7228.19;170.71;82.25;90.886;0
7211.55;140.23;82.25;90.886;0
6412.78;102.54;82.25;90.886;0
6204.88;102.18;82.25;90.886;0
6084.58;102.29;82.25;90.886;0
5835.12;90.05;82.25;90.886;0
5548.16;85.03;82.25;90.886;0
5389.06;84.4;82.25;90.886;0
5410.36;80.24;82.25;90.886;0
5337.53;55.46;82.25;90.886;0
5307.79;49.29;82.25;90.886;0
5403.87;50.64;82.25;90.886;0
6069.78;74.29;82.25;90.886;0
6387.88;84.44;82.25;90.886;0
6330.12;97.26;82.25;90.886;0
6048.59;119.97;82.25;90.886;1
6434.56;134.96;82.25;90.886;1
6493.51;149.4;82.25;90.886;3
6476.85;165.13;82.25;90.886;2
6223.57;165.06;82.25;90.886;0
6451.66;170.09;82.25;90.886;0
6803.70;189.04;82.25;90.886;0
6882.34;190.96;82.25;90.886;0
7302.91;223.3;82.25;90.886;0
7362.63;243.94;82.25;90.886;0
7244.22;240;82.25;90.886;0
6573.54;230.82;82.25;90.886;0
6375.09;214.02;82.25;90.886;0
6323.42;215.88;82.25;90.886;0
6152.56;203.8;82.25;90.886;0
5949.39;196.23;82.25;91.43;0
5785.19;191.85;82.25;91.43;0
5824.24;195.91;82.25;91.43;0
5898.72;186.66;82.25;91.43;0
5902.92;178.04;82.25;91.43;0
5997.53;191.65;82.25;91.43;0
6521.47;237.44;82.25;91.43;0
6697.75;299.95;82.25;91.43;0
6629.55;313.92;82.25;91.43;0
6452.98;315;82.25;91.43;0
6595.58;310.41;82.25;91.43;0
6607.72;310.08;82.25;91.43;0
6623.56;300;82.25;91.43;0
6386.49;297.01;82.25;91.43;0
6448.64;299.96;82.25;91.43;0
6395.72;306.45;82.25;91.43;0
6340.37;302.73;82.25;91.43;0
6987.84;315.47;82.25;91.43;0
7114.86;310.82;82.25;91.43;0
7026.54;294.98;82.25;91.43;0
6393.91;267.45;82.25;91.43;0
6415.29;242.29;82.25;91.43;0
6410.46;217.03;82.25;91.43;0
6219.49;195.83;82.25;91.43;0
6105.29;210.34;82.25;88.498;0
6064.37;202.42;82.25;88.498;0
6079.74;197.6;82.25;88.498;0
6041.70;193;82.25;88.498;0
6078.79;194.9;82.25;88.498;0
6414.12;204.45;82.25;88.498;0
7170.49;237.13;82.25;88.498;0
7356.03;298.68;82.25;88.498;0
6961.17;302.02;82.25;88.498;4
6414.82;297.16;82.25;88.498;675
6604.38;277.02;82.25;88.498;722
6456.15;266.43;82.25;88.498;716
6322.98;254.92;82.25;88.498;637
6030.88;248.89;82.25;88.498;468
6159.46;255.01;82.25;88.498;0
6221.30;277.9;82.25;88.498;0
6165.66;289.94;82.25;88.498;0
6757.42;316.4;82.25;88.498;0
6907.83;315.9;82.25;88.498;0
6797.23;309.2;82.25;88.498;0
6085.63;285.33;82.25;88.498;0
5767.61;245.44;82.25;88.498;0
5642.24;237.27;82.25;88.498;0
5355.40;212.49;82.25;88.498;0
5047.02;196.65;82.25;82.675;0
5046.22;187.1;82.25;82.675;0
5132.64;184.27;82.25;82.675;0
5210.19;179.58;82.25;82.675;0
5314.27;178.33;82.25;82.675;0
5611.39;193.5;82.25;82.675;0
6458.85;240.56;82.25;82.675;0
6914.48;273.18;82.25;82.675;0
7026.39;300.1;82.25;82.675;0
7061.62;292.74;82.25;82.675;0
7543.08;275.5;82.25;82.675;0
7536.88;258.65;82.25;82.675;540
7381.56;245.11;82.25;82.675;0
7019.90;232.08;82.25;82.675;0
7162.14;234.77;82.25;82.675;0
7372.45;240.01;82.25;82.675;0
7514.49;255;82.25;82.675;0
7889.68;284.82;82.25;82.675;0
8024.33;285.97;82.25;82.675;0
7791.86;269.03;82.25;82.675;0
6993.87;235.25;82.25;82.675;0
6744.92;191.5;82.25;82.675;0
6516.32;193.69;82.25;82.675;0
6264.65;172.18;82.25;82.675;0
6156.21;173.14;82.25;79.105;0
6025.24;161.69;82.25;79.105;0
5882.31;153.58;82.25;79.105;0
5881.74;147.07;82.25;79.105;0
5978.57;152.47;82.25;79.105;0
6253.97;171.26;82.25;79.105;0
6831.22;192.03;82.25;79.105;0
7167.96;215.24;82.25;79.105;0
7051.52;235.9;82.25;79.105;0
