label_3,active,nonconvex,l_factor,l_factor_fix,cap_max,cap_min,capex_pipes,fix_costs
DN40,1,1,0.00002371,0.00901,380,0,3.103042,3000
DN50,1,1,0.00001142,0.00834,730,0,1.724068,4000
DN80,1,1,0.00000357,0.0075,2100,0,0.712567,8000
DN125,1,1,0.00000139,0.01,7170,0,0.258774,1500
DN200,1,1,0.0000004885177,0.0117,23950,0,0.01336117,25000
