thermal_demand,electricity_price,co2_price,gas_price,waste_heat,biomass_price,loss_ratio,thermal_demand_with_losses
6860.57,147.62,82.25,70.807,14.3343,26.03,0.016399999999999998,6973.083347999999
6908.22,118.8,82.25,70.807,14.1944,26.03,0.016399999999999998,7021.514808
6709.52,95.1,82.25,70.807,11.7352,26.03,0.016399999999999998,6819.556128
6028.34,85.82,82.25,70.807,14.1441,26.03,0.016399999999999998,6127.204776
5891.46,76.38,82.25,70.807,11.3793,26.03,0.016399999999999998,5988.079944
5827.24,65.0,82.25,70.807,7.2364,26.03,0.016399999999999998,5922.806736
5673.9,58.12,82.25,70.807,7.5168,26.03,0.016399999999999998,5766.951959999999
5533.64,129.25,82.25,70.807,7.118,26.03,0.016399999999999998,5624.391696000001
5470.78,106.34,82.25,70.807,7.2189,26.03,0.016399999999999998,5560.500792
5427.49,94.42,82.25,70.807,7.4551,26.03,0.016399999999999998,5516.500835999999
5312.95,97.79,82.25,70.807,7.4038,26.03,0.016399999999999998,5400.08238
5227.8,121.44,82.25,70.807,7.2688,26.03,0.016399999999999998,5313.53592
5391.21,180.21,82.25,70.807,6.9003,26.03,0.016399999999999998,5479.625844
5971.64,148.11,82.25,70.807,10.2864,26.03,0.016399999999999998,6069.574896
6243.11,379.25,82.25,70.807,11.0787,26.03,0.016399999999999998,6345.497004
6303.98,299.99,82.25,70.807,14.775,26.03,0.016399999999999998,6407.365271999999
6179.16,300.0,82.25,70.807,13.0978,26.03,0.016399999999999998,6280.498224
6495.33,300.07,82.25,70.807,12.7961,26.03,0.016399999999999998,6601.8534119999995
6555.59,300.0,82.25,70.807,13.6125,26.03,0.016399999999999998,6663.101676
6566.4,299.99,82.25,70.807,14.9622,26.03,0.016399999999999998,6674.088959999999
6208.82,296.18,82.25,70.807,16.3862,26.03,0.016399999999999998,6310.6446479999995
6157.81,299.99,82.25,70.807,14.3067,26.03,0.016399999999999998,6258.798084
6101.24,362.14,82.25,70.807,12.7246,26.03,0.016399999999999998,6201.300335999999
6042.51,300.0,82.25,70.807,16.9127,26.03,0.016399999999999998,6141.607164
6438.48,299.99,82.25,70.807,16.286,26.03,0.016399999999999998,6544.071072
6571.98,249.96,82.25,70.807,15.805,26.03,0.016399999999999998,6679.760471999999
6551.59,203.72,82.25,70.807,11.9394,26.03,0.016399999999999998,6659.036076
6001.13,149.99,82.25,70.807,14.8133,26.03,0.016399999999999998,6099.548532
5793.19,150.0,82.25,70.807,12.7474,26.03,0.016399999999999998,5888.198315999999
5638.46,143.09,82.25,70.807,7.2222,26.03,0.016399999999999998,5730.930744
5411.72,111.11,82.25,70.807,6.7909,26.03,0.016399999999999998,5500.472208
5369.96,169.99,82.25,91.338,7.0179,26.03,0.016399999999999998,5458.027344
5360.63,150.07,82.25,91.338,7.5941,26.03,0.016399999999999998,5448.544332
5258.1,150.06,82.25,91.338,6.3755,26.03,0.016399999999999998,5344.33284
5298.72,150.07,82.25,91.338,7.364,26.03,0.016399999999999998,5385.619008
5296.55,150.09,82.25,91.338,7.4464,26.03,0.016399999999999998,5383.41342
5444.23,350.0,82.25,91.338,6.9681,26.03,0.016399999999999998,5533.515372
5812.6,999.94,82.25,91.338,11.6654,26.03,0.016399999999999998,5907.926640000001
6066.87,1478.91,82.25,91.338,13.3092,26.03,0.016399999999999998,6166.366668
6131.36,1251.67,82.25,91.338,13.645,26.03,0.016399999999999998,6231.914304
6123.31,1000.0,82.25,91.338,11.8081,26.03,0.016399999999999998,6223.732284000001
6671.16,999.98,82.25,91.338,13.6965,26.03,0.016399999999999998,6780.567024
6772.91,800.0,82.25,91.338,15.6827,26.03,0.016399999999999998,6883.985723999999
6819.17,999.91,82.25,91.338,15.9067,26.03,0.016399999999999998,6931.004388
6562.75,899.06,82.25,91.338,11.6808,26.03,0.016399999999999998,6670.3791
6642.06,999.97,82.25,91.338,15.5544,26.03,0.016399999999999998,6750.989784
6657.94,1000.0,82.25,91.338,12.8479,26.03,0.016399999999999998,6767.130216
6828.2,800.0,82.25,91.338,16.6612,26.03,0.016399999999999998,6940.1824799999995
7258.92,710.08,82.25,91.338,15.9249,26.03,0.016399999999999998,7377.966288
7107.76,800.0,82.25,91.338,14.85,26.03,0.016399999999999998,7224.327264
6845.64,550.06,82.25,91.338,16.3246,26.03,0.016399999999999998,6957.908496
6350.67,640.03,82.25,91.338,13.0305,26.03,0.016399999999999998,6454.8209879999995
6233.13,550.0,82.25,91.338,12.3505,26.03,0.016399999999999998,6335.353332
6203.44,300.01,82.25,91.338,7.5555,26.03,0.016399999999999998,6305.176415999999
6011.86,200.0,82.25,91.338,6.3845,26.03,0.016399999999999998,6110.454503999999
5948.15,111.19,82.25,92.598,5.9177,26.03,0.016399999999999998,6045.699659999999
5914.56,113.98,82.25,92.598,6.1164,26.03,0.016399999999999998,6011.558784
5841.47,82.03,82.25,92.598,5.6724,26.03,0.016399999999999998,5937.270108
