,ambient_heat__to__ambient_heat_bus__flow,ambient_heat_bus__to__solar_collector__flow,biomass_bus__to__chp_2__flow,biomass_source__to__biomass_bus__flow,chp_1__to__electrical_bus__flow,chp_1__to__thermal_bus__flow,chp_2__to__electrical_bus__flow,chp_2__to__thermal_bus__flow,electrical_bus__to__excess_electricity__flow,electrical_bus__to__heat_pump__flow,electricity_grid__to__electrical_bus__flow,gas_boiler_1__to__thermal_bus__flow,gas_bus__to__chp_1__flow,gas_bus__to__gas_boiler_1__flow,heat_pump__to__thermal_bus__flow,natural_gas__to__gas_bus__flow,solar_collector__to__thermal_bus__flow,thermal_bus__to__thermal_demand_with_losses__flow,thermal_shortage__to__thermal_bus__flow,waste_heat_source__to__waste_heat_bus__flow
2022-01-01 00:00:00,0.0,0.0,4.632947345454545,4.632947345454545,0.0,0.0,0.8339305221818181,2.54812104,0.0,1.0,0.16606947781818193,0.0,0.0,0.0,3.0,0.0,-0.0,5.54812104,0.0,0.0
2022-01-01 01:00:00,0.0,0.0,4.512383825454543,4.512383825454543,0.0,0.0,0.8122290885818176,2.4818111039999984,0.0,1.0,0.18777091141818236,0.0,0.0,0.0,3.0,0.0,-0.0,5.481811103999998,0.0,0.0
2022-01-01 02:00:00,0.0,0.0,4.443693665454545,4.443693665454545,0.0,0.0,0.7998648597818181,2.444031516,0.0,1.0,0.2001351402181819,0.0,0.0,0.0,3.0,0.0,-0.0,5.444031516,0.0,0.0
2022-01-01 03:00:00,0.0,0.0,4.394961905454545,4.394961905454545,0.0,0.0,0.791093142981818,2.4172290479999994,0.0,1.0,0.208906857018182,0.0,0.0,0.0,3.0,0.0,-0.0,5.417229047999999,0.0,0.0
2022-01-01 04:00:00,0.0,0.0,4.584030785454546,4.584030785454546,0.0,0.0,0.8251255413818184,2.5212169320000006,0.0,1.0,0.17487445861818163,0.0,0.0,0.0,3.0,0.0,-0.0,5.521216932000001,0.0,0.0
2022-01-01 05:00:00,0.0,0.0,4.687130705454546,4.687130705454546,0.0,0.0,0.8436835269818184,2.5779218880000005,0.0,1.0,0.15631647301818163,0.0,0.0,0.0,3.0,0.0,-0.0,5.5779218880000005,0.0,0.0
2022-01-01 06:00:00,0.0,0.0,5.067171905454544,5.067171905454544,0.0,0.0,0.9120909429818179,2.7869445479999992,0.0,1.0,0.08790905701818208,0.0,0.0,0.0,3.0,0.0,-0.0,5.786944547999999,0.0,0.0
2022-01-01 07:00:00,0.0,0.0,5.1127435854545435,5.1127435854545435,0.0,0.0,0.9202938453818179,2.812008971999999,0.0,1.0,0.07970615461818209,0.0,0.0,0.0,3.0,0.0,-0.0,5.812008971999999,0.0,0.0
2022-01-01 08:00:00,0.0,0.0,5.163748385454545,5.163748385454545,0.0,0.0,0.929474709381818,2.8400616119999995,0.0,1.0,0.07052529061818202,0.0,0.0,0.0,3.0,0.0,-0.0,5.8400616119999995,0.0,0.0
2022-01-01 09:00:00,0.0,0.0,4.936610705454545,4.936610705454545,0.0,0.0,0.8885899269818182,2.715135888,0.0,1.0,0.11141007301818184,0.0,0.0,0.0,3.0,0.0,-0.0,5.715135888,0.0,0.0
