thermal_demand;electricity_price;co2_price;gas_price
6978.90;237.05;82.25;94.548
6396.92;224.33;82.25;94.548
6296.10;213.81;82.25;94.548
6153.74;185.94;82.25;94.548
5925.60;148.32;82.25;94.548
5674.28;164.17;82.25;90.886
5510.50;152.83;82.25;90.886
5418.74;166;82.25;90.886
5427.59;160.86;82.25;90.886
5593.10;160;82.25;90.886
5752.31;154.3;82.25;90.886
6325.47;166;82.25;90.886
6422.63;182.91;82.25;90.886
6357.42;215.89;82.25;90.886
6219.06;231;82.25;90.886
6495.94;228.95;82.25;90.886
6624.13;215.39;82.25;90.886
6690.07;206.68;82.25;90.886
6257.58;185;82.25;90.886
6354.99;169.52;82.25;90.886
6389.40;162.8;82.25;90.886
6351.92;161.34;82.25;90.886
7027.37;189.9;82.25;90.886
7228.19;170.71;82.25;90.886
7211.55;140.23;82.25;90.886
6412.78;102.54;82.25;90.886
6204.88;102.18;82.25;90.886
6084.58;102.29;82.25;90.886
5835.12;90.05;82.25;90.886
5548.16;85.03;82.25;90.886
5389.06;84.4;82.25;90.886
5410.36;80.24;82.25;90.886
5337.53;55.46;82.25;90.886
5307.79;49.29;82.25;90.886
5403.87;50.64;82.25;90.886
6069.78;74.29;82.25;90.886
6387.88;84.44;82.25;90.886
6330.12;97.26;82.25;90.886
6048.59;119.97;82.25;90.886
6434.56;134.96;82.25;90.886
6493.51;149.4;82.25;90.886
6476.85;165.13;82.25;90.886
6223.57;165.06;82.25;90.886
6451.66;170.09;82.25;90.886
6803.70;189.04;82.25;90.886
6882.34;190.96;82.25;90.886
7302.91;223.3;82.25;90.886
7362.63;243.94;82.25;90.886
7244.22;240;82.25;90.886
6573.54;230.82;82.25;90.886
6375.09;214.02;82.25;90.886
6323.42;215.88;82.25;90.886
6152.56;203.8;82.25;90.886
5949.39;196.23;82.25;91.43
5785.19;191.85;82.25;91.43
5824.24;195.91;82.25;91.43
5898.72;186.66;82.25;91.43
5902.92;178.04;82.25;91.43
5997.53;191.65;82.25;91.43
6521.47;237.44;82.25;91.43
6697.75;299.95;82.25;91.43
6629.55;313.92;82.25;91.43
6452.98;315;82.25;91.43
6595.58;310.41;82.25;91.43
6607.72;310.08;82.25;91.43
6623.56;300;82.25;91.43
6386.49;297.01;82.25;91.43
6448.64;299.96;82.25;91.43
6395.72;306.45;82.25;91.43
6340.37;302.73;82.25;91.43
6987.84;315.47;82.25;91.43
7114.86;310.82;82.25;91.43
7026.54;294.98;82.25;91.43
6393.91;267.45;82.25;91.43
6415.29;242.29;82.25;91.43
6410.46;217.03;82.25;91.43
6219.49;195.83;82.25;91.43
6105.29;210.34;82.25;88.498
6064.37;202.42;82.25;88.498
6079.74;197.6;82.25;88.498
6041.70;193;82.25;88.498
6078.79;194.9;82.25;88.498
6414.12;204.45;82.25;88.498
7170.49;237.13;82.25;88.498
7356.03;298.68;82.25;88.498
6961.17;302.02;82.25;88.498
6414.82;297.16;82.25;88.498
6604.38;277.02;82.25;88.498
6456.15;266.43;82.25;88.498
6322.98;254.92;82.25;88.498
6030.88;248.89;82.25;88.498
6159.46;255.01;82.25;88.498
6221.30;277.9;82.25;88.498
6165.66;289.94;82.25;88.498
6757.42;316.4;82.25;88.498
6907.83;315.9;82.25;88.498
6797.23;309.2;82.25;88.498
6085.63;285.33;82.25;88.498
5767.61;245.44;82.25;88.498
5642.24;237.27;82.25;88.498
5355.40;212.49;82.25;88.498
5047.02;196.65;82.25;82.675
5046.22;187.1;82.25;82.675
