thermal_demand;electricity_price;co2_price;gas_price;waste_heat
6357.42;121.11;82.25;90.886;17.6982
6219.06;120.73;82.25;90.886;13.4604
6495.94;113.9;82.25;90.886;18.6564
6624.13;139.05;82.25;90.886;17.0759
6690.07;161.05;82.25;90.886;16.5258
6257.58;137.91;82.25;90.886;15.8129
6354.99;167.2;82.25;90.886;14.7371
6389.4;162.52;82.25;90.886;13.4486
6351.92;129.93;82.25;90.886;16.018
7027.37;132.31;82.25;90.886;11.3959
7228.19;130.01;82.25;90.886;16.157
7211.55;122.12;82.25;90.886;12.92
6412.78;114.21;82.25;90.886;13.0391
6204.88;102.83;82.25;90.886;11.0958
6084.58;99.98;82.25;90.886;6.7202
5835.12;91.49;82.25;90.886;6.6665
5548.16;87.82;82.25;90.886;6.7352
5389.06;86.69;82.25;90.886;7.5095
5410.36;85;82.25;90.886;6.6133
5337.53;84.13;82.25;90.886;7.605
5307.79;85.41;82.25;90.886;7.1674
5403.87;90.12;82.25;90.886;7.0996
6069.78;108.51;82.25;90.886;11.3297
6387.88;123.22;82.25;90.886;11.4196
6330.12;133.25;82.25;90.886;12.5033
6048.59;120.89;82.25;90.886;11.8551
6434.56;112.78;82.25;90.886;14.5909
6493.51;105.4;82.25;90.886;11.0215
6476.85;100;82.25;90.886;15.8018
6223.57;100.6;82.25;90.886;15.2408
6451.66;112.36;82.25;90.886;13.6748
6803.7;121.09;82.25;90.886;17.4492
6882.34;130.99;82.25;90.886;15.6385
7302.91;137.95;82.25;90.886;11.8288
7362.63;137.72;82.25;90.886;15.9045
7244.22;130.33;82.25;90.886;12.3009
6573.54;117.36;82.25;90.886;13.3317
6375.09;109;82.25;90.886;11.2362
6323.42;103.63;82.25;90.886;7.6469
6152.56;94.76;82.25;90.886;6.8694
5949.39;87.15;82.25;91.43;7.5317
5785.19;84.67;82.25;91.43;7.5559
5824.24;84.64;82.25;91.43;7.0555
5898.72;84.02;82.25;91.43;6.3447
5902.92;84.23;82.25;91.43;6.7275
5997.53;89.05;82.25;91.43;7.4703
6521.47;114.84;82.25;91.43;13.3857
6697.75;134.87;82.25;91.43;12.3162
6629.55;143;82.25;91.43;14.1325
6452.98;130.39;82.25;91.43;13.3123
6595.58;121.47;82.25;91.43;16.4433
6607.72;109.13;82.25;91.43;12.0227
6623.56;102.21;82.25;91.43;14.4853
6386.49;113.34;82.25;91.43;19.2677
6448.64;122.03;82.25;91.43;17.8111
6395.72;130.06;82.25;91.43;13.1926
6340.37;134.64;82.25;91.43;16.8121
6987.84;143.79;82.25;91.43;15.3476
7114.86;136.64;82.25;91.43;14.3802
7026.54;128.98;82.25;91.43;13.2013
6393.91;117.12;82.25;91.43;14.7215
6415.29;107.12;82.25;91.43;10.5444
6410.46;83.1;82.25;91.43;7.2639
6219.49;30.07;82.25;91.43;6.7494
6105.29;83.1;82.25;88.498;7.471
6064.37;74.1;82.25;88.498;6.0331
6079.74;24.39;82.25;88.498;6.4643
6041.7;40;82.25;88.498;6.9141
6078.79;68.47;82.25;88.498;6.2206
6414.12;34.36;82.25;88.498;7.2959
7170.49;99.62;82.25;88.498;8.1038
7356.03;114.06;82.25;88.498;10.2862
6961.17;137.62;82.25;88.498;13.2836
6414.82;126.06;82.25;88.498;15.9509
6604.38;110.92;82.25;88.498;15.7398
6456.15;103.92;82.25;88.498;15.9705
6322.98;97;82.25;88.498;17.3305
6030.88;99;82.25;88.498;13.846
6159.46;105.98;82.25;88.498;13.8897
6221.3;124.1;82.25;88.498;14.1828
6165.66;141.86;82.25;88.498;9.5966
6757.42;155;82.25;88.498;15.1762
6907.83;200;82.25;88.498;15.4536
6797.23;145.44;82.25;88.498;11.753
6085.63;123.51;82.25;88.498;15.5474
5767.61;108.2;82.25;88.498;11.2736
5642.24;100;82.25;88.498;7.3124
5355.4;96.97;82.25;88.498;7.2217
5047.02;90.94;82.25;82.675;7.4379
5046.22;88.13;82.25;82.675;6.735
5132.64;86.3;82.25;82.675;7.3588
5210.19;86.85;82.25;82.675;7.0082
5314.27;92.24;82.25;82.675;6.9365
5611.39;103.41;82.25;82.675;7.2936
6458.85;124.5;82.25;82.675;10.3458
6914.48;137.15;82.25;82.675;12.1175
7026.39;140.74;82.25;82.675;13.5479
7061.62;134.96;82.25;82.675;13.2091
7543.08;150.03;82.25;82.675;17.8527
7536.88;136.48;82.25;82.675;16.0587
7381.56;124.57;82.25;82.675;14.51
7019.9;124.32;82.25;82.675;16.4034
7162.14;150.51;82.25;82.675;13.7698
7372.45;203;82.25;82.675;12.6888
7514.49;299.02;82.25;82.675;13.1254
7889.68;200.01;82.25;82.675;14.5913
8024.33;155;82.25;82.675;13.5727
7791.86;122.84;82.25;82.675;12.5834
6993.87;108.87;82.25;82.675;12.4853
6744.92;98.66;82.25;82.675;10.9338
6516.32;93.57;82.25;82.675;6.7275
6264.65;85.15;82.25;82.675;7.2793
6156.21;75.64;82.25;79.105;5.6622
6025.24;74.85;82.25;79.105;5.6623
